year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1966,England,Liverpool,Quarterfinals,Portugal,3,5,A,Italy won in AET,Portugal,North Korea,1966-07-23,Jul,Saturday,1960s,July
1966,England,Liverpool,Semifinals,Soviet Union,2,1,H,Italy won in AET,West Germany,Soviet Union,1966-07-25,Jul,Monday,1960s,July
1966,England,London,Semifinals,Portugal,2,1,H,Italy won in AET,England,Portugal,1966-07-26,Jul,Tuesday,1960s,July
1966,England,London,Third place,Soviet Union,2,1,H,Italy won in AET,Portugal,Soviet Union,1966-07-28,Jul,Thursday,1960s,July
1966,England,London,Final,West Germany,4,2,H,England won in AET,England,West Germany,1966-07-30,Jul,Saturday,1960s,July
1970,Mexico,Mexico City,Group 1,Soviet Union,0,0,D,Italy won in AET,Brazil,Mexico,1970-05-31,May,Sunday,1970s,May
1970,Mexico,León,Group 4,Peru,2,3,A,Italy won in AET,Peru,Bulgaria,1970-06-02,Jun,Tuesday,1970s,June
1970,Mexico,Guadalajara,Group 3,Romania,1,0,H,Italy won in AET,England,Romania,1970-06-02,Jun,Tuesday,1970s,June
1970,Mexico,Puebla,Group 2,Uruguay,0,2,A,Italy won in AET,Uruguay,Israel,1970-06-02,Jun,Tuesday,1970s,June
1970,Mexico,Mexico City,Group 1,El Salvador,3,0,H,Italy won in AET,Belgium,El Salvador,1970-06-03,Jun,Wednesday,1970s,June
1970,Mexico,Guadalajara,Group 3,Czechoslovakia,4,1,H,Italy won in AET,Brazil,Czechoslovakia,1970-06-03,Jun,Wednesday,1970s,June
1970,Mexico,León,Group 4,Morocco,2,1,H,Italy won in AET,West Germany,Morocco,1970-06-03,Jun,Wednesday,1970s,June
1970,Mexico,Toluca,Group 2,Sweden,1,0,H,Italy won in AET,Italy,Sweden,1970-06-03,Jun,Wednesday,1970s,June
1970,Mexico,Mexico City,Group 1,Soviet Union,1,4,A,Italy won in AET,Soviet Union,Belgium,1970-06-06,Jun,Saturday,1970s,June
1970,Mexico,Guadalajara,Group 3,Romania,1,2,A,Italy won in AET,Romania,Czechoslovakia,1970-06-06,Jun,Saturday,1970s,June
1970,Mexico,Puebla,Group 2,Uruguay,0,0,D,Italy won in AET,Brazil,Mexico,1970-06-06,Jun,Saturday,1970s,June
1970,Mexico,León,Group 4,Peru,0,3,A,Italy won in AET,Peru,Morocco,1970-06-06,Jun,Saturday,1970s,June
1970,Mexico,Guadalajara,Group 3,England,1,0,H,Italy won in AET,Brazil,England,1970-06-07,Jun,Sunday,1970s,June
1970,Mexico,León,Group 4,West Germany,2,5,A,Italy won in AET,West Germany,Bulgaria,1970-06-07,Jun,Sunday,1970s,June
1970,Mexico,Toluca,Group 2,Sweden,1,1,D,Italy won in AET,Brazil,Mexico,1970-06-07,Jun,Sunday,1970s,June
1970,Mexico,Mexico City,Group 1,El Salvador,4,0,H,Italy won in AET,Mexico,El Salvador,1970-06-07,Jun,Sunday,1970s,June
1970,Mexico,Guadalajara,Group 3,Romania,3,2,H,Italy won in AET,Brazil,Romania,1970-06-10,Jun,Wednesday,1970s,June
1970,Mexico,Mexico City,Group 1,Soviet Union,0,2,A,Italy won in AET,Soviet Union,El Salvador,1970-06-10,Jun,Wednesday,1970s,June
1970,Mexico,León,Group 4,Peru,3,1,H,Italy won in AET,West Germany,Peru,1970-06-10,Jun,Wednesday,1970s,June
1970,Mexico,Puebla,Group 2,Uruguay,1,0,H,Italy won in AET,Sweden,Uruguay,1970-06-10,Jun,Wednesday,1970s,June
1970,Mexico,León,Group 4,Morocco,1,1,D,Italy won in AET,Brazil,Mexico,1970-06-11,Jun,Thursday,1970s,June
1970,Mexico,Guadalajara,Group 3,England,0,1,A,Italy won in AET,England,Czechoslovakia,1970-06-11,Jun,Thursday,1970s,June
1970,Mexico,Toluca,Group 2,Italy,0,0,D,Italy won in AET,Brazil,Mexico,1970-06-11,Jun,Thursday,1970s,June
1970,Mexico,Mexico City,Group 1,Belgium,1,0,H,Italy won in AET,Mexico,Belgium,1970-06-11,Jun,Thursday,1970s,June
1970,Mexico,Guadalajara,Quarterfinals,Peru,4,2,H,Italy won in AET,Brazil,Peru,1970-06-14,Jun,Sunday,1970s,June
1970,Mexico,León,Quarterfinals,West Germany,2,3,A,West Germany won in AET,West Germany,England,1970-06-14,Jun,Sunday,1970s,June
1970,Mexico,Toluca,Quarterfinals,Italy,1,4,A,Italy won in AET,Italy,Mexico,1970-06-14,Jun,Sunday,1970s,June
1970,Mexico,Mexico City,Quarterfinals,Uruguay,0,1,A,Uruguay won in AET,Uruguay,Soviet Union,1970-06-14,Jun,Sunday,1970s,June
1970,Mexico,Guadalajara,Semifinals,Uruguay,3,1,H,Italy won in AET,Brazil,Uruguay,1970-06-17,Jun,Wednesday,1970s,June
1970,Mexico,Mexico City,Semifinals,Italy,3,4,A,Italy won in AET,Italy,West Germany,1970-06-17,Jun,Wednesday,1970s,June
1970,Mexico,Mexico City,Third place,Uruguay,1,0,H,Italy won in AET,West Germany,Uruguay,1970-06-20,Jun,Saturday,1970s,June
1970,Mexico,Mexico City,Final,Italy,4,1,H,Italy won in AET,Brazil,Italy,1970-06-21,Jun,Sunday,1970s,June
1974,Germany,Frankfurt am Main,Group 2,Yugoslavia,0,0,D,Italy won in AET,Brazil,Mexico,1974-06-13,Jun,Thursday,1970s,June
1974,Germany,Dortmund,Group 2,Scotland,0,2,A,Italy won in AET,Scotland,Zaire,1974-06-14,Jun,Friday,1970s,June
1974,Germany,Hamburg,Group 1,Australia,2,0,H,Italy won in AET,East Germany,Australia,1974-06-14,Jun,Friday,1970s,June
1974,Germany,Berlin,Group 1,Chile,1,0,H,Italy won in AET,West Germany,Chile,1974-06-14,Jun,Friday,1970s,June
1974,Germany,Munich,Group 4,Haiti,3,1,H,Italy won in AET,Italy,Haiti,1974-06-15,Jun,Saturday,1970s,June
1974,Germany,Stuttgart,Group 4,Argentina,3,2,H,Italy won in AET,Poland,Argentina,1974-06-15,Jun,Saturday,1970s,June
1974,Germany,Düsseldorf,Group 3,Bulgaria,0,0,D,Italy won in AET,Brazil,Mexico,1974-06-15,Jun,Saturday,1970s,June
1974,Germany,Hanover,Group 3,Netherlands,0,2,A,Italy won in AET,Netherlands,Uruguay,1974-06-15,Jun,Saturday,1970s,June
1974,Germany,Berlin,Group 1,East Germany,1,1,D,Italy won in AET,Brazil,Mexico,1974-06-18,Jun,Tuesday,1970s,June
1974,Germany,Hamburg,Group 1,Australia,3,0,H,Italy won in AET,West Germany,Australia,1974-06-18,Jun,Tuesday,1970s,June
1974,Germany,Frankfurt am Main,Group 2,Brazil,0,0,D,Italy won in AET,Brazil,Mexico,1974-06-18,Jun,Tuesday,1970s,June
1974,Germany,Gelsenkirchen,Group 2,Zaire,5,0,H,Italy won in AET,Yugoslavia,Zaire,1974-06-18,Jun,Tuesday,1970s,June
1974,Germany,Stuttgart,Group 4,Italy,1,1,D,Italy won in AET,Brazil,Mexico,1974-06-19,Jun,Wednesday,1970s,June
1974,Germany,Hanover,Group 3,Uruguay,1,1,D,Italy won in AET,Brazil,Mexico,1974-06-19,Jun,Wednesday,1970s,June
1974,Germany,Munich,Group 4,Poland,0,5,A,Italy won in AET,Poland,Haiti,1974-06-19,Jun,Wednesday,1970s,June
1974,Germany,Dortmund,Group 3,Sweden,0,0,D,Italy won in AET,Brazil,Mexico,1974-06-19,Jun,Wednesday,1970s,June
1974,Germany,Berlin,Group 1,Chile,0,0,D,Italy won in AET,Brazil,Mexico,1974-06-22,Jun,Saturday,1970s,June
1974,Germany,Gelsenkirchen,Group 2,Brazil,0,3,A,Italy won in AET,Brazil,Zaire,1974-06-22,Jun,Saturday,1970s,June
1974,Germany,Hamburg,Group 1,East Germany,0,1,A,Italy won in AET,East Germany,West Germany,1974-06-22,Jun,Saturday,1970s,June
1974,Germany,Frankfurt am Main,Group 2,Yugoslavia,1,1,D,Italy won in AET,Brazil,Mexico,1974-06-22,Jun,Saturday,1970s,June
1974,Germany,Munich,Group 4,Haiti,4,1,H,Italy won in AET,Argentina,Haiti,1974-06-23,Jun,Sunday,1970s,June
1974,Germany,Dortmund,Group 3,Netherlands,1,4,A,Italy won in AET,Netherlands,Bulgaria,1974-06-23,Jun,Sunday,1970s,June
1974,Germany,Stuttgart,Group 4,Italy,2,1,H,Italy won in AET,Poland,Italy,1974-06-23,Jun,Sunday,1970s,June
1974,Germany,Düsseldorf,Group 3,Uruguay,3,0,H,Italy won in AET,Sweden,Uruguay,1974-06-23,Jun,Sunday,1970s,June
1974,Germany,Hanover,Group A,East Germany,1,0,H,Italy won in AET,Brazil,East Germany,1974-06-26,Jun,Wednesday,1970s,June
1974,Germany,Düsseldorf,Group B,Yugoslavia,2,0,H,Italy won in AET,West Germany,Yugoslavia,1974-06-26,Jun,Wednesday,1970s,June
1974,Germany,Gelsenkirchen,Group A,Argentina,4,0,H,Italy won in AET,Netherlands,Argentina,1974-06-26,Jun,Wednesday,1970s,June
1974,Germany,Stuttgart,Group B,Poland,0,1,A,Italy won in AET,Poland,Sweden,1974-06-26,Jun,Wednesday,1970s,June
1974,Germany,Hanover,Group A,Brazil,1,2,A,Italy won in AET,Brazil,Argentina,1974-06-30,Jun,Sunday,1970s,June
1974,Germany,Gelsenkirchen,Group A,Netherlands,0,2,A,Italy won in AET,Netherlands,West Germany,1974-06-30,Jun,Sunday,1970s,June
1974,Germany,Düsseldorf,Group B,Sweden,4,2,H,Italy won in AET,West Germany,Sweden,1974-06-30,Jun,Sunday,1970s,June
1974,Germany,Frankfurt am Main,Group B,Yugoslavia,2,1,H,Italy won in AET,Poland,Yugoslavia,1974-06-30,Jun,Sunday,1970s,June
1974,Germany,Gelsenkirchen,Group A,East Germany,1,1,D,Italy won in AET,Brazil,Mexico,1974-07-03,Jul,Wednesday,1970s,July
1974,Germany,Frankfurt am Main,Group B,Poland,1,0,H,Italy won in AET,West Germany,Poland,1974-07-03,Jul,Wednesday,1970s,July
1974,Germany,Dortmund,Group A,Brazil,2,0,H,Italy won in AET,Netherlands,Brazil,1974-07-03,Jul,Wednesday,1970s,July
1974,Germany,Düsseldorf,Group B,Yugoslavia,2,1,H,Italy won in AET,Sweden,Yugoslavia,1974-07-03,Jul,Wednesday,1970s,July
1974,Germany,Munich,Third place,Poland,0,1,A,Italy won in AET,Poland,Brazil,1974-07-06,Jul,Saturday,1970s,July
1974,Germany,Munich,Final,Netherlands,2,1,H,Italy won in AET,West Germany,Netherlands,1974-07-07,Jul,Sunday,1970s,July
1978,Argentina,Buenos Aires,Group 2,Poland,0,0,D,Italy won in AET,Brazil,Mexico,1978-06-01,Jun,Thursday,1970s,June
1978,Argentina,Buenos Aires,Group 1,Hungary,2,1,H,Italy won in AET,Argentina,Hungary,1978-06-02,Jun,Friday,1970s,June
1978,Argentina,Mar del Plata,Group 1,Italy,1,2,A,Italy won in AET,Italy,France,1978-06-02,Jun,Friday,1970s,June
1978,Argentina,Rosario,Group 2,Tunisia,1,3,A,Italy won in AET,Tunisia,Mexico,1978-06-02,Jun,Friday,1970s,June
1978,Argentina,Buenos Aires,Group 3,Spain,2,1,H,Italy won in AET,Austria,Spain,1978-06-03,Jun,Saturday,1970s,June
1978,Argentina,Mar del Plata,Group 3,Sweden,1,1,D,Italy won in AET,Brazil,Mexico,1978-06-03,Jun,Saturday,1970s,June
1978,Argentina,Mendoza,Group 4,Netherlands,0,3,A,Italy won in AET,Netherlands,Iran,1978-06-03,Jun,Saturday,1970s,June
1978,Argentina,Córdoba,Group 4,Scotland,3,1,H,Italy won in AET,Peru,Scotland,1978-06-03,Jun,Saturday,1970s,June
1978,Argentina,Buenos Aires,Group 1,France,2,1,H,Italy won in AET,Argentina,France,1978-06-06,Jun,Tuesday,1970s,June
1978,Argentina,Córdoba,Group 2,Mexico,5,0,H,Italy won in AET,West Germany,Mexico,1978-06-06,Jun,Tuesday,1970s,June
1978,Argentina,Mar del Plata,Group 1,Italy,1,3,A,Italy won in AET,Italy,Hungary,1978-06-06,Jun,Tuesday,1970s,June
1978,Argentina,Rosario,Group 2,Tunisia,1,0,H,Italy won in AET,Poland,Tunisia,1978-06-06,Jun,Tuesday,1970s,June
1978,Argentina,Buenos Aires,Group 3,Sweden,1,0,H,Italy won in AET,Austria,Sweden,1978-06-07,Jun,Wednesday,1970s,June
1978,Argentina,Mar del Plata,Group 3,Spain,0,0,D,Italy won in AET,Brazil,Mexico,1978-06-07,Jun,Wednesday,1970s,June
1978,Argentina,Córdoba,Group 4,Scotland,1,1,D,Italy won in AET,Brazil,Mexico,1978-06-07,Jun,Wednesday,1970s,June
1978,Argentina,Mendoza,Group 4,Peru,0,0,D,Italy won in AET,Brazil,Mexico,1978-06-07,Jun,Wednesday,1970s,June
1978,Argentina,Buenos Aires,Group 1,Italy,0,1,A,Italy won in AET,Italy,Argentina,1978-06-10,Jun,Saturday,1970s,June
1978,Argentina,Mar del Plata,Group 1,Hungary,3,1,H,Italy won in AET,France,Hungary,1978-06-10,Jun,Saturday,1970s,June
1978,Argentina,Córdoba,Group 2,Tunisia,0,0,D,Italy won in AET,Brazil,Mexico,1978-06-10,Jun,Saturday,1970s,June
1978,Argentina,Rosario,Group 2,Poland,1,3,A,Italy won in AET,Poland,Mexico,1978-06-10,Jun,Saturday,1970s,June
1978,Argentina,Mar del Plata,Group 3,Brazil,0,1,A,Italy won in AET,Brazil,Austria,1978-06-11,Jun,Sunday,1970s,June
1978,Argentina,Córdoba,Group 4,Peru,1,4,A,Italy won in AET,Peru,Iran,1978-06-11,Jun,Sunday,1970s,June
1978,Argentina,Mendoza,Group 4,Scotland,2,3,A,Italy won in AET,Scotland,Netherlands,1978-06-11,Jun,Sunday,1970s,June
1978,Argentina,Buenos Aires,Group 3,Sweden,1,0,H,Italy won in AET,Spain,Sweden,1978-06-11,Jun,Sunday,1970s,June
1978,Argentina,Rosario,Group B,Poland,2,0,H,Italy won in AET,Argentina,Poland,1978-06-14,Jun,Wednesday,1970s,June
1978,Argentina,Córdoba,Group A,Netherlands,1,5,A,Italy won in AET,Netherlands,Austria,1978-06-14,Jun,Wednesday,1970s,June
1978,Argentina,Mendoza,Group B,Peru,3,0,H,Italy won in AET,Brazil,Peru,1978-06-14,Jun,Wednesday,1970s,June
1978,Argentina,Buenos Aires,Group A,Italy,0,0,D,Italy won in AET,Brazil,Mexico,1978-06-14,Jun,Wednesday,1970s,June
1978,Argentina,Rosario,Group B,Brazil,0,0,D,Italy won in AET,Brazil,Mexico,1978-06-18,Jun,Sunday,1970s,June
1978,Argentina,Buenos Aires,Group A,Italy,0,1,A,Italy won in AET,Italy,Austria,1978-06-18,Jun,Sunday,1970s,June
1978,Argentina,Córdoba,Group A,Netherlands,2,2,D,Italy won in AET,Brazil,Mexico,1978-06-18,Jun,Sunday,1970s,June
1978,Argentina,Mendoza,Group B,Poland,0,1,A,Italy won in AET,Poland,Peru,1978-06-18,Jun,Sunday,1970s,June
1978,Argentina,Rosario,Group B,Peru,5,0,H,Italy won in AET,Argentina,Peru,1978-06-21,Jun,Wednesday,1970s,June
1978,Argentina,Córdoba,Group A,West Germany,3,2,H,Italy won in AET,Austria,West Germany,1978-06-21,Jun,Wednesday,1970s,June
1978,Argentina,Mendoza,Group B,Poland,3,1,H,Italy won in AET,Brazil,Poland,1978-06-21,Jun,Wednesday,1970s,June
1978,Argentina,Buenos Aires,Group A,Netherlands,1,2,A,Italy won in AET,Netherlands,Italy,1978-06-21,Jun,Wednesday,1970s,June
1978,Argentina,Buenos Aires,Third place,Italy,2,1,H,Italy won in AET,Brazil,Italy,1978-06-24,Jun,Saturday,1970s,June
1978,Argentina,Buenos Aires,Final,Netherlands,3,1,H,Argentina won in AET,Argentina,Netherlands,1978-06-25,Jun,Sunday,1970s,June
1982,Spain,Barcelona,Group 3,Belgium,0,1,A,Italy won in AET,Belgium,Argentina,1982-06-13,Jun,Sunday,1980s,June
1982,Spain,Seville,Group 6,Soviet Union,2,1,H,Italy won in AET,Brazil,Soviet Union,1982-06-14,Jun,Monday,1980s,June
1982,Spain,Vigo,Group 1,Poland,0,0,D,Italy won in AET,Brazil,Mexico,1982-06-14,Jun,Monday,1980s,June
1982,Spain,Elche,Group 3,El Salvador,5,1,H,Italy won in AET,Hungary,El Salvador,1982-06-15,Jun,Tuesday,1980s,June
1982,Spain,La Coruña,Group 1,Cameroon,0,0,D,Italy won in AET,Brazil,Mexico,1982-06-15,Jun,Tuesday,1980s,June
1982,Spain,Málaga,Group 6,New Zealand,5,2,H,Italy won in AET,Scotland,New Zealand,1982-06-15,Jun,Tuesday,1980s,June
1982,Spain,Bilbao,Group 4,France,3,1,H,Italy won in AET,England,France,1982-06-16,Jun,Wednesday,1980s,June
1982,Spain,Gijón,Group 2,Algeria,1,2,A,Italy won in AET,Algeria,West Germany,1982-06-16,Jun,Wednesday,1980s,June
1982,Spain,Valencia,Group 5,Honduras,1,1,D,Italy won in AET,Brazil,Mexico,1982-06-16,Jun,Wednesday,1980s,June
1982,Spain,Oviedo,Group 2,Austria,0,1,A,Italy won in AET,Austria,Chile,1982-06-17,Jun,Thursday,1980s,June
1982,Spain,Valladolid,Group 4,Kuwait,1,1,D,Italy won in AET,Brazil,Mexico,1982-06-17,Jun,Thursday,1980s,June
1982,Spain,Zaragoza,Group 5,Northern Ireland,0,0,D,Italy won in AET,Brazil,Mexico,1982-06-17,Jun,Thursday,1980s,June
1982,Spain,Alicante,Group 3,Hungary,4,1,H,Italy won in AET,Argentina,Hungary,1982-06-18,Jun,Friday,1980s,June
1982,Spain,Seville,Group 6,Scotland,4,1,H,Italy won in AET,Brazil,Scotland,1982-06-18,Jun,Friday,1980s,June
1982,Spain,Vigo,Group 1,Peru,1,1,D,Italy won in AET,Brazil,Mexico,1982-06-18,Jun,Friday,1980s,June
1982,Spain,Elche,Group 3,El Salvador,1,0,H,Italy won in AET,Belgium,El Salvador,1982-06-19,Jun,Saturday,1980s,June
1982,Spain,La Coruña,Group 1,Cameroon,0,0,D,Italy won in AET,Brazil,Mexico,1982-06-19,Jun,Saturday,1980s,June
1982,Spain,Málaga,Group 6,New Zealand,3,0,H,Italy won in AET,Soviet Union,New Zealand,1982-06-19,Jun,Saturday,1980s,June
1982,Spain,Bilbao,Group 4,Czechoslovakia,2,0,H,Italy won in AET,England,Czechoslovakia,1982-06-20,Jun,Sunday,1980s,June
1982,Spain,Gijón,Group 2,Chile,4,1,H,Italy won in AET,West Germany,Chile,1982-06-20,Jun,Sunday,1980s,June
1982,Spain,Valencia,Group 5,Yugoslavia,2,1,H,Italy won in AET,Spain,Yugoslavia,1982-06-20,Jun,Sunday,1980s,June
1982,Spain,Oviedo,Group 2,Austria,0,2,A,Italy won in AET,Austria,Algeria,1982-06-21,Jun,Monday,1980s,June
1982,Spain,Valladolid,Group 4,Kuwait,4,1,H,Italy won in AET,France,Kuwait,1982-06-21,Jun,Monday,1980s,June
1982,Spain,Zaragoza,Group 5,Northern Ireland,1,1,D,Italy won in AET,Brazil,Mexico,1982-06-21,Jun,Monday,1980s,June
1982,Spain,Elche,Group 3,Hungary,1,1,D,Italy won in AET,Brazil,Mexico,1982-06-22,Jun,Tuesday,1980s,June
1982,Spain,La Coruña,Group 1,Peru,5,1,H,Italy won in AET,Poland,Peru,1982-06-22,Jun,Tuesday,1980s,June
1982,Spain,Málaga,Group 6,Scotland,2,2,D,Italy won in AET,Brazil,Mexico,1982-06-22,Jun,Tuesday,1980s,June
1982,Spain,Alicante,Group 3,El Salvador,2,0,H,Italy won in AET,Argentina,El Salvador,1982-06-23,Jun,Wednesday,1980s,June
1982,Spain,Seville,Group 6,New Zealand,4,0,H,Italy won in AET,Brazil,New Zealand,1982-06-23,Jun,Wednesday,1980s,June
1982,Spain,Vigo,Group 1,Cameroon,1,1,D,Italy won in AET,Brazil,Mexico,1982-06-23,Jun,Wednesday,1980s,June
1982,Spain,Oviedo,Group 2,Chile,3,2,H,Italy won in AET,Algeria,Chile,1982-06-24,Jun,Thursday,1980s,June
1982,Spain,Valladolid,Group 4,Czechoslovakia,1,1,D,Italy won in AET,Brazil,Mexico,1982-06-24,Jun,Thursday,1980s,June
1982,Spain,Zaragoza,Group 5,Yugoslavia,0,1,A,Italy won in AET,Yugoslavia,Honduras,1982-06-24,Jun,Thursday,1980s,June
1982,Spain,Bilbao,Group 4,Kuwait,1,0,H,Italy won in AET,England,Kuwait,1982-06-25,Jun,Friday,1980s,June
1982,Spain,Gijón,Group 2,Austria,1,0,H,Italy won in AET,West Germany,Austria,1982-06-25,Jun,Friday,1980s,June
1982,Spain,Valencia,Group 5,Northern Ireland,0,1,A,Italy won in AET,Northern Ireland,Spain,1982-06-25,Jun,Friday,1980s,June
1982,Spain,Madrid,Group D,France,0,1,A,Italy won in AET,France,Austria,1982-06-28,Jun,Monday,1980s,June
1982,Spain,Barcelona,Group A,Belgium,3,0,H,Italy won in AET,Poland,Belgium,1982-06-28,Jun,Monday,1980s,June
1982,Spain,Madrid,Group B,England,0,0,D,Italy won in AET,Brazil,Mexico,1982-06-29,Jun,Tuesday,1980s,June
1982,Spain,Barcelona,Group C,Argentina,2,1,H,Italy won in AET,Italy,Argentina,1982-06-29,Jun,Tuesday,1980s,June
1982,Spain,Madrid,Group D,Northern Ireland,2,2,D,Italy won in AET,Brazil,Mexico,1982-07-01,Jul,Thursday,1980s,July
1982,Spain,Barcelona,Group A,Soviet Union,0,1,A,Italy won in AET,Soviet Union,Belgium,1982-07-01,Jul,Thursday,1980s,July
1982,Spain,Barcelona,Group C,Brazil,1,3,A,Italy won in AET,Brazil,Argentina,1982-07-02,Jul,Friday,1980s,July
1982,Spain,Madrid,Group B,West Germany,1,2,A,Italy won in AET,West Germany,Spain,1982-07-02,Jul,Friday,1980s,July
1982,Spain,Madrid,Group D,Northern Ireland,4,1,H,Italy won in AET,France,Northern Ireland,1982-07-04,Jul,Sunday,1980s,July
1982,Spain,Barcelona,Group A,Soviet Union,0,0,D,Italy won in AET,Brazil,Mexico,1982-07-04,Jul,Sunday,1980s,July
1982,Spain,Barcelona,Group C,Brazil,3,2,H,Italy won in AET,Italy,Brazil,1982-07-05,Jul,Monday,1980s,July
1982,Spain,Madrid,Group B,England,0,0,D,Italy won in AET,Brazil,Mexico,1982-07-05,Jul,Monday,1980s,July
1982,Spain,Seville,Semifinals,France,3,3,H,West Germany won in penalties (5 - 4),West Germany,France,1982-07-08,Jul,Thursday,1980s,July
1982,Spain,Barcelona,Semifinals,Italy,0,2,A,Italy won in AET,Italy,Poland,1982-07-08,Jul,Thursday,1980s,July
1982,Spain,Alicante,Third place,France,3,2,H,Italy won in AET,Poland,France,1982-07-10,Jul,Saturday,1980s,July
1982,Spain,Madrid,Final,West Germany,3,1,H,Italy won in AET,Italy,West Germany,1982-07-11,Jul,Sunday,1980s,July
1986,Mexico,Mexico City,Group A,Italy,1,1,D,Italy won in AET,Brazil,Mexico,1986-05-31,May,Saturday,1980s,May
1986,Mexico,León,Group C,France,0,1,A,Italy won in AET,France,Canada,1986-06-01,Jun,Sunday,1980s,June
1986,Mexico,Guadalajara,Group D,Brazil,0,1,A,Italy won in AET,Brazil,Spain,1986-06-01,Jun,Sunday,1980s,June
1986,Mexico,Mexico City,Group A,South Korea,3,1,H,Italy won in AET,Argentina,South Korea,1986-06-02,Jun,Monday,1980s,June
1986,Mexico,Monterrey,Group F,Poland,0,0,D,Italy won in AET,Brazil,Mexico,1986-06-02,Jun,Monday,1980s,June
1986,Mexico,Irapuato,Group C,Hungary,5,0,H,Italy won in AET,Soviet Union,Hungary,1986-06-02,Jun,Monday,1980s,June
1986,Mexico,Guadalajara,Group D,Northern Ireland,1,1,D,Italy won in AET,Brazil,Mexico,1986-06-03,Jun,Tuesday,1980s,June
1986,Mexico,Mexico City,Group B,Belgium,2,1,H,Italy won in AET,Mexico,Belgium,1986-06-03,Jun,Tuesday,1980s,June
1986,Mexico,Monterrey,Group F,England,1,0,H,Italy won in AET,Portugal,England,1986-06-03,Jun,Tuesday,1980s,June
1986,Mexico,Toluca,Group B,Iraq,1,0,H,Italy won in AET,Paraguay,Iraq,1986-06-04,Jun,Wednesday,1980s,June
1986,Mexico,Nezahualcóyotl,Group E,Denmark,0,1,A,Italy won in AET,Denmark,Scotland,1986-06-04,Jun,Wednesday,1980s,June
1986,Mexico,Querétaro,Group E,West Germany,1,1,D,Italy won in AET,Brazil,Mexico,1986-06-04,Jun,Wednesday,1980s,June
1986,Mexico,León,Group C,Soviet Union,1,1,D,Italy won in AET,Brazil,Mexico,1986-06-05,Jun,Thursday,1980s,June
1986,Mexico,Puebla,Group A,Argentina,1,1,D,Italy won in AET,Brazil,Mexico,1986-06-05,Jun,Thursday,1980s,June
1986,Mexico,Mexico City,Group A,Bulgaria,1,1,D,Italy won in AET,Brazil,Mexico,1986-06-05,Jun,Thursday,1980s,June
1986,Mexico,Guadalajara,Group D,Algeria,1,0,H,Italy won in AET,Brazil,Algeria,1986-06-06,Jun,Friday,1980s,June
1986,Mexico,Monterrey,Group F,Morocco,0,0,D,Italy won in AET,Brazil,Mexico,1986-06-06,Jun,Friday,1980s,June
1986,Mexico,Irapuato,Group C,Canada,2,0,H,Italy won in AET,Hungary,Canada,1986-06-06,Jun,Friday,1980s,June
1986,Mexico,Mexico City,Group B,Paraguay,1,1,D,Italy won in AET,Brazil,Mexico,1986-06-07,Jun,Saturday,1980s,June
1986,Mexico,Guadalajara,Group D,Spain,1,2,A,Italy won in AET,Spain,Northern Ireland,1986-06-07,Jun,Saturday,1980s,June
1986,Mexico,Monterrey,Group F,Portugal,1,0,H,Italy won in AET,Poland,Portugal,1986-06-07,Jun,Saturday,1980s,June
1986,Mexico,Nezahualcóyotl,Group E,Uruguay,5,1,H,Italy won in AET,Denmark,Uruguay,1986-06-08,Jun,Sunday,1980s,June
1986,Mexico,Querétaro,Group E,Scotland,2,1,H,Italy won in AET,West Germany,Scotland,1986-06-08,Jun,Sunday,1980s,June
1986,Mexico,Toluca,Group B,Belgium,1,2,A,Italy won in AET,Belgium,Iraq,1986-06-08,Jun,Sunday,1980s,June
1986,Mexico,León,Group C,France,0,3,A,Italy won in AET,France,Hungary,1986-06-09,Jun,Monday,1980s,June
1986,Mexico,Irapuato,Group C,Canada,2,0,H,Italy won in AET,Soviet Union,Canada,1986-06-09,Jun,Monday,1980s,June
1986,Mexico,Mexico City,Group A,Bulgaria,2,0,H,Italy won in AET,Argentina,Bulgaria,1986-06-10,Jun,Tuesday,1980s,June
1986,Mexico,Puebla,Group A,Italy,2,3,A,Italy won in AET,Italy,South Korea,1986-06-10,Jun,Tuesday,1980s,June
1986,Mexico,Monterrey,Group F,Poland,3,0,H,Italy won in AET,England,Poland,1986-06-11,Jun,Wednesday,1980s,June
1986,Mexico,Mexico City,Group B,Iraq,1,0,H,Italy won in AET,Mexico,Iraq,1986-06-11,Jun,Wednesday,1980s,June
1986,Mexico,Toluca,Group B,Belgium,2,2,D,Italy won in AET,Brazil,Mexico,1986-06-11,Jun,Wednesday,1980s,June
1986,Mexico,Guadalajara,Group F,Morocco,1,3,A,Italy won in AET,Morocco,Portugal,1986-06-11,Jun,Wednesday,1980s,June
1986,Mexico,Monterrey,Group D,Spain,0,3,A,Italy won in AET,Spain,Algeria,1986-06-12,Jun,Thursday,1980s,June
1986,Mexico,Guadalajara,Group D,Brazil,0,3,A,Italy won in AET,Brazil,Northern Ireland,1986-06-12,Jun,Thursday,1980s,June
1986,Mexico,Querétaro,Group E,West Germany,2,0,H,Italy won in AET,Denmark,West Germany,1986-06-13,Jun,Friday,1980s,June
1986,Mexico,Nezahualcóyotl,Group E,Uruguay,0,0,D,Italy won in AET,Brazil,Mexico,1986-06-13,Jun,Friday,1980s,June
