year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1938,France,Antibes,Quarterfinals,Sweden,0,5,A,Italy won in AET,Sweden,Cuba,1938-06-12,Jun,Sunday,1930s,June
1938,France,Colombes,Quarterfinals,Italy,1,3,A,Italy won in AET,Italy,France,1938-06-12,Jun,Sunday,1930s,June
1938,France,Lille,Quarterfinals,Switzerland,2,0,H,Italy won in AET,Hungary,Switzerland,1938-06-12,Jun,Sunday,1930s,June
1938,France,Bordeaux,Quarterfinals,Czechoslovakia,2,1,H,Italy won in AET,Brazil,Czechoslovakia,1938-06-14,Jun,Tuesday,1930s,June
1938,France,Marseille,Semifinals,Italy,1,2,A,Italy won in AET,Italy,Brazil,1938-06-16,Jun,Thursday,1930s,June
1938,France,Paris,Semifinals,Sweden,5,1,H,Italy won in AET,Hungary,Sweden,1938-06-16,Jun,Thursday,1930s,June
1938,France,Bordeaux,Third place,Sweden,4,2,H,Italy won in AET,Brazil,Sweden,1938-06-19,Jun,Sunday,1930s,June
1938,France,Colombes,Final,Italy,2,4,A,Italy won in AET,Italy,Hungary,1938-06-19,Jun,Sunday,1930s,June
1950,Brazil,Rio de Janeiro,Group 1,Mexico,4,0,H,Italy won in AET,Brazil,Mexico,1950-06-24,Jun,Saturday,1950s,June
1950,Brazil,Rio de Janeiro,Group 2,England,0,2,A,Italy won in AET,England,Chile,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,São Paulo,Group 3,Sweden,2,3,A,Italy won in AET,Sweden,Italy,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,Curitiba,Group 2,United States,3,1,H,Italy won in AET,Spain,United States,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,Belo Horizonte,Group 1,Yugoslavia,0,3,A,Italy won in AET,Yugoslavia,Switzerland,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,São Paulo,Group 1,Switzerland,2,2,D,Italy won in AET,Brazil,Mexico,1950-06-28,Jun,Wednesday,1950s,June
1950,Brazil,Porto Alegre,Group 1,Yugoslavia,1,4,A,Italy won in AET,Yugoslavia,Mexico,1950-06-28,Jun,Wednesday,1950s,June
1950,Brazil,Rio de Janeiro,Group 2,Spain,0,2,A,Italy won in AET,Spain,Chile,1950-06-29,Jun,Thursday,1950s,June
1950,Brazil,Belo Horizonte,Group 2,United States,0,1,A,Italy won in AET,United States,England,1950-06-29,Jun,Thursday,1950s,June
1950,Brazil,Curitiba,Group 3,Sweden,2,2,D,Italy won in AET,Brazil,Mexico,1950-06-29,Jun,Thursday,1950s,June
1950,Brazil,Rio de Janeiro,Group 1,Yugoslavia,2,0,H,Italy won in AET,Brazil,Yugoslavia,1950-07-01,Jul,Saturday,1950s,July
1950,Brazil,Belo Horizonte,Group 4,Uruguay,0,5,A,Italy won in AET,Uruguay,Bolivia,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Recife,Group 2,United States,5,2,H,Italy won in AET,Chile,United States,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Rio de Janeiro,Group 2,Spain,0,1,A,Italy won in AET,Spain,England,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,São Paulo,Group 3,Paraguay,2,0,H,Italy won in AET,Italy,Paraguay,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Porto Alegre,Group 1,Switzerland,1,2,A,Italy won in AET,Switzerland,Mexico,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Rio de Janeiro,Final Round,Sweden,5,1,H,Italy won in AET,Brazil,Sweden,1950-07-09,Jul,Sunday,1950s,July
1950,Brazil,São Paulo,Final Round,Uruguay,2,2,D,Italy won in AET,Brazil,Mexico,1950-07-09,Jul,Sunday,1950s,July
1950,Brazil,Rio de Janeiro,Final Round,Spain,5,1,H,Italy won in AET,Brazil,Spain,1950-07-13,Jul,Thursday,1950s,July
1950,Brazil,São Paulo,Final Round,Uruguay,2,3,A,Italy won in AET,Uruguay,Sweden,1950-07-13,Jul,Thursday,1950s,July
1950,Brazil,Rio de Janeiro,Final Round,Uruguay,1,2,A,Italy won in AET,Uruguay,Brazil,1950-07-16,Jul,Sunday,1950s,July
1950,Brazil,São Paulo,Final Round,Sweden,1,3,A,Italy won in AET,Sweden,Spain,1950-07-16,Jul,Sunday,1950s,July
1954,Switzerland,Zürich,Group 3,Scotland,1,0,H,Italy won in AET,Austria,Scotland,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Geneva,Group 1,Mexico,5,0,H,Italy won in AET,Brazil,Mexico,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Berne,Group 3,Uruguay,0,2,A,Italy won in AET,Uruguay,Czechoslovakia,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Lausanne,Group 1,Yugoslavia,0,1,A,Italy won in AET,Yugoslavia,France,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Basel,Group 4,England,4,4,D,Italy won in AET,Brazil,Mexico,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Berne,Group 2,Turkey,4,1,H,Italy won in AET,West Germany,Turkey,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Zürich,Group 2,South Korea,5,0,H,Italy won in AET,Hungary,South Korea,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Lausanne,Group 4,Italy,2,1,H,Italy won in AET,Switzerland,Italy,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Zürich,Group 3,Czechoslovakia,5,0,H,Italy won in AET,Austria,Czechoslovakia,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Lausanne,Group 1,Yugoslavia,1,1,D,Italy won in AET,Brazil,Mexico,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Geneva,Group 1,Mexico,3,2,H,Italy won in AET,France,Mexico,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Basel,Group 3,Uruguay,0,5,A,Italy won in AET,Uruguay,Scotland,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Lugano,Group 4,Italy,1,4,A,Italy won in AET,Italy,Belgium,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Basel,Group 2,Hungary,3,5,A,Italy won in AET,Hungary,West Germany,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Geneva,Group 2,Turkey,0,5,A,Italy won in AET,Turkey,South Korea,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Berne,Group 4,England,0,2,A,Italy won in AET,England,Switzerland,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Zürich,Group 2,Turkey,5,2,H,Italy won in AET,West Germany,Turkey,1954-06-23,Jun,Wednesday,1950s,June
1954,Switzerland,Basel,Group 4,Italy,4,1,H,Italy won in AET,Switzerland,Italy,1954-06-23,Jun,Wednesday,1950s,June
1954,Switzerland,Basel,Quarterfinals,Uruguay,2,4,A,Italy won in AET,Uruguay,England,1954-06-26,Jun,Saturday,1950s,June
1954,Switzerland,Lausanne,Quarterfinals,Austria,5,5,A,Italy won in AET,Austria,Switzerland,1954-06-26,Jun,Saturday,1950s,June
1954,Switzerland,Berne,Quarterfinals,Hungary,2,4,A,Italy won in AET,Hungary,Brazil,1954-06-27,Jun,Sunday,1950s,June
1954,Switzerland,Geneva,Quarterfinals,Yugoslavia,2,0,H,Italy won in AET,West Germany,Yugoslavia,1954-06-27,Jun,Sunday,1950s,June
1954,Switzerland,Basel,Semifinals,West Germany,1,5,A,Italy won in AET,West Germany,Austria,1954-06-30,Jun,Wednesday,1950s,June
1954,Switzerland,Lausanne,Semifinals,Uruguay,4,2,H,Hungary won in AET,Hungary,Uruguay,1954-06-30,Jun,Wednesday,1950s,June
1954,Switzerland,Zürich,Third place,Uruguay,3,1,H,Italy won in AET,Austria,Uruguay,1954-07-03,Jul,Saturday,1950s,July
1954,Switzerland,Berne,Final,Hungary,3,2,H,Italy won in AET,West Germany,Hungary,1954-07-04,Jul,Sunday,1950s,July
1958,Sweden,Malmö,Group 1,West Germany,1,3,A,Italy won in AET,West Germany,Argentina,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Uddevalla,Group 4,Brazil,0,3,A,Italy won in AET,Brazil,Austria,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Halmstad,Group 1,Northern Ireland,0,1,A,Italy won in AET,Northern Ireland,Czechoslovakia,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Gothenburg,Group 4,Soviet Union,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Norrköping,Group 2,Paraguay,5,3,H,Italy won in AET,France,Paraguay,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Sandviken,Group 3,Wales,1,1,D,Italy won in AET,Brazil,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Västerås,Group 2,Yugoslavia,1,1,D,Italy won in AET,Brazil,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Solna,Group 3,Mexico,3,0,H,Italy won in AET,Sweden,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Halmstad,Group 1,Northern Ireland,3,1,H,Italy won in AET,Argentina,Northern Ireland,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Borås,Group 4,Soviet Union,0,2,A,Italy won in AET,Soviet Union,Austria,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Gothenburg,Group 4,England,0,0,D,Italy won in AET,Brazil,Mexico,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Helsingborg,Group 1,West Germany,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Västerås,Group 2,Yugoslavia,2,3,A,Italy won in AET,Yugoslavia,France,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Solna,Group 3,Wales,1,1,D,Italy won in AET,Brazil,Mexico,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Norrköping,Group 2,Scotland,3,2,H,Italy won in AET,Paraguay,Scotland,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Solna,Group 3,Hungary,2,1,H,Italy won in AET,Sweden,Hungary,1958-06-12,Jun,Thursday,1950s,June
1958,Sweden,Helsingborg,Group 1,Czechoslovakia,1,5,A,Italy won in AET,Czechoslovakia,Argentina,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Borås,Group 4,England,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Gothenburg,Group 4,Soviet Union,2,0,H,Italy won in AET,Brazil,Soviet Union,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Örebro,Group 2,Scotland,2,1,H,Italy won in AET,France,Scotland,1958-06-15,Jun,Sunday,1950s,June
